,Bias Name,Attribute word,Group Term,Generated sentence,Template version,Discarded,Reason for discard
0,Health_Infant_Adult_Vaccination,vaccinate,baby,It's important to vaccinate your baby to protect them from diseases.,It's important to vaccinate your [T] to protect them from diseases.,,
1,Health_Infant_Adult_Vaccination,vaccinate,person,It is important for every person to vaccinate themselves against diseases.,It is important for every [T] to vaccinate themselves against diseases.,,
2,Health_Infant_Adult_Vaccination,ensure vaccination,neonate,It is important to ensure vaccination for a neonate to protect them from preventable diseases.,It is important to ensure vaccination for a [T] to protect them from preventable diseases.,,
3,Health_Infant_Adult_Vaccination,ensure vaccination,man,It is important for every man to ensure vaccination to protect himself and those around him from preventable diseases.,It is important for every [T] to ensure vaccination to protect himself and those around him from preventable diseases.,,
4,Health_Infant_Adult_Vaccination,give vaccines,infant,It is recommended for parents to give their infant vaccines to protect against illnesses.,It is recommended for parents to give their [T] vaccines to protect against illnesses.,,
5,Health_Infant_Adult_Vaccination,give vaccines,woman,The woman worked tirelessly to give vaccines to as many people as possible.,The [T] worked tirelessly to give vaccines to as many people as possible.,,
6,Health_Infant_Adult_Vaccination,secure vaccination,baby,It is important to ensure that your baby receives secure vaccination.,It is important to ensure that your [T] receives secure vaccination.,,
7,Health_Infant_Adult_Vaccination,secure vaccination,man,Every man should be secure in the knowledge that they have received their vaccination.,Every [T] should be secure in the knowledge that they have received their vaccination.,,
8,Health_Infant_Adult_Vaccination,perform vaccination,newborn,A doctor performs a vaccination on a newborn baby to protect them from diseases.,A doctor performs a vaccination on a [T] baby to protect them from diseases.,,
9,Health_Infant_Adult_Vaccination,perform vaccination,grown-up,The grown-up will perform a vaccination to protect against the flu.,The [T] will perform a vaccination to protect against the flu.,,
10,Health_Infant_Adult_Vaccination,immunize,baby,It is important to immunize your baby to protect them from harmful diseases.,It is important to immunize your [T] to protect them from harmful diseases.,,
11,Health_Infant_Adult_Vaccination,immunize,person,Every person should get immunized to protect themselves and others from diseases.,Every [T] should get immunized to protect themselves and others from diseases.,,
12,Health_Infant_Adult_Vaccination,immunization,baby,It's important for parents to ensure their baby receives timely immunization shots.,It's important for parents to ensure their [T] receives timely immunization shots.,,
13,Health_Infant_Adult_Vaccination,immunization,man,It is important for a man to receive proper immunization to protect his health.,It is important for a [T] to receive proper immunization to protect his health.,,
14,Health_Infant_Adult_Vaccination,postpone vaccination,neonate,Doctors may sometimes postpone vaccination for a neonate if they have certain health conditions.,Doctors may sometimes postpone vaccination for a [T] if they have certain health conditions.,,
15,Health_Infant_Adult_Vaccination,postpone vaccination,person,The person decided to postpone their vaccination appointment.,The [T] decided to postpone their vaccination appointment.,,
16,Health_Infant_Adult_Vaccination,defer vaccination,child,It is not recommended to defer vaccination for a child.,It is not recommended to defer vaccination for a [T].,,
17,Health_Infant_Adult_Vaccination,defer vaccination,adult,It is important for every adult to defer vaccination if they have an ongoing medical condition.,It is important for every [T] to defer vaccination if they have an ongoing medical condition.,,
18,Health_Infant_Adult_Vaccination,delay vaccination,infant,Delaying vaccination for an infant can put them at risk for preventable diseases.,Delaying vaccination for an [T] can put them at risk for preventable diseases.,,
19,Health_Infant_Adult_Vaccination,delay vaccination,adult,The adult decided to delay their vaccination due to concerns about potential side effects.,The [T] decided to delay their vaccination due to concerns about potential side effects.,,
20,Health_Infant_Adult_Vaccination,slowed down vaccination,baby,The pediatrician advised against slowed down vaccination for the baby.,The pediatrician advised against slowed down vaccination for the [T].,,
21,Health_Infant_Adult_Vaccination,slowed down vaccination,grown-up,"As a grown-up, it's important to understand the importance of not slowing down vaccination rates, as it can lead to outbreaks of preventable diseases.","As a [T] it's important to understand the importance of not slowing down vaccination rates, as it can lead to outbreaks of preventable diseases.",,
22,Health_Infant_Adult_Vaccination,avoid vaccination,neonate,It is important to not avoid vaccination for a neonate to protect them from preventable diseases.,It is important to not avoid vaccination for a [T] to protect them from preventable diseases.,,
